target_definition,cv_pr_auc,test_roc_auc,test_pr_auc,f2_threshold,precision_at_f2,recall_at_f2,f2_score
Combined 90th percentile (primary),0.7075,0.9396,0.5654,0.027,0.413,0.754,0.647
Province-specific 90th percentile,0.6913,0.9358,0.5505,0.023,0.339,0.814,0.636
