target_definition,value_m_per_day,positive_rate_test,cv_pr_auc,test_roc_auc,test_pr_auc,f2_threshold,precision_at_f2,recall_at_f2,f2_score
90th percentile,984.44,6.6%,0.7075,0.9396,0.5654,0.12,0.513,0.601,0.581
85th percentile,589.33,10.4%,0.7857,0.9277,0.6534,0.003,0.46,0.778,0.683
