label,power,alpha,rmse,mae,tweedie_deviance
"baseline (power=1.5, alpha=10)",1.5,10.0,729.8089835615415,235.9519090131141,38.53555227191044
"tuned (power=1.1, alpha=5)",1.1,5.0,725.991522299142,223.4034897139579,323.36710140562394
