model,direction,rmse,mae
lightgbm,BC -> AB,921.627558752825,275.9611537007708
lightgbm,AB -> BC,533.4461722981471,182.6555794034475
xgboost,BC -> AB,969.1076746194855,291.71982229855496
xgboost,AB -> BC,534.3731402799481,180.09176713681256
random_forest,BC -> AB,856.574145709896,301.2638710612966
random_forest,AB -> BC,617.7646989181637,306.5635754239204
