model,rmse,mae
tweedie_baseline,729.8089835615415,235.9519090131141
tweedie_tuned,725.991522299142,223.4034897139579
random_forest,636.055812922435,219.28824458818477
lightgbm_optuna,634.3061954059643,174.57314650341905
xgboost_optuna,656.2625679408208,179.10974935590522
